Ticker,Model,Regime,RMSE,MAE,QLIKE,DirAcc,N
SPY,GlobalHAR,All,0.02965524,0.02079635,-3.057832,48.9,500
SPY,RegimeHAR,All,0.02886505,0.01919333,-3.07131,49.7,500
SPY,RegimeXGB,All,0.02788143,0.01785718,-3.102121,47.49,500
SPY,GlobalHAR,Low,0.02607917,0.01812108,-3.190001,44.77,374
SPY,RegimeHAR,Low,0.02323821,0.0142136,-3.237685,46.65,374
SPY,RegimeXGB,Low,0.02328309,0.01421465,-3.255525,48.79,374
SPY,GlobalHAR,Medium,0.04504337,0.03436135,-2.412164,45.16,63
SPY,RegimeHAR,Medium,0.04675102,0.03702591,-2.430894,45.16,63
SPY,RegimeXGB,Medium,0.04659331,0.03426939,-2.387901,46.77,63
SPY,GlobalHAR,High,0.03021868,0.02311305,-2.91888,30.65,63
SPY,RegimeHAR,High,0.03494525,0.03092298,-2.724038,32.26,63
SPY,RegimeXGB,High,0.02793753,0.02306891,-2.905659,51.61,63
QQQ,GlobalHAR,All,0.05348782,0.03862634,-2.393364,49.1,500
QQQ,RegimeHAR,All,0.05242038,0.03578555,-2.381819,48.1,500
QQQ,RegimeXGB,All,0.05064505,0.03449921,-2.40265,46.09,500
QQQ,GlobalHAR,Low,0.04796111,0.03450976,-2.528729,46.83,364
QQQ,RegimeHAR,Low,0.04444858,0.02777963,-2.524361,47.38,364
QQQ,RegimeXGB,Low,0.04447559,0.02909271,-2.522513,47.38,364
QQQ,GlobalHAR,Medium,0.06265986,0.04956046,-2.003752,44.12,69
QQQ,RegimeHAR,Medium,0.06557672,0.0557774,-1.953581,41.18,69
QQQ,RegimeXGB,Medium,0.06441431,0.04913233,-2.001138,45.59,69
QQQ,GlobalHAR,High,0.06935353,0.04973051,-2.059195,39.39,67
QQQ,RegimeHAR,High,0.07310601,0.0586918,-2.048434,37.88,67
QQQ,RegimeXGB,High,0.06419942,0.04880196,-2.164949,59.09,67
AAPL,GlobalHAR,All,0.10638979,0.06695735,-1.982381,50.3,500
AAPL,RegimeHAR,All,0.1076858,0.06163719,-2.02608,48.5,500
AAPL,RegimeXGB,All,0.10379112,0.0562768,-2.078105,47.49,500
AAPL,GlobalHAR,Low,0.10208642,0.0628206,-2.096088,49.86,346
AAPL,RegimeHAR,Low,0.09644684,0.04649543,-2.205084,49.86,346
AAPL,RegimeXGB,Low,0.0973708,0.04817469,-2.219603,46.96,346
AAPL,GlobalHAR,Medium,0.10560378,0.07694962,-1.778481,39.47,77
AAPL,RegimeHAR,Medium,0.1196148,0.10466397,-1.624817,46.05,77
AAPL,RegimeXGB,Medium,0.12176563,0.08284809,-1.789717,53.95,77
AAPL,GlobalHAR,High,0.12456633,0.0755536,-1.675337,44.74,77
AAPL,RegimeHAR,High,0.13854218,0.08665002,-1.62299,43.42,77
AAPL,RegimeXGB,High,0.11190083,0.06611236,-1.730669,55.26,77
