date,psi_rv_lag_1,psi_rv_lag_5,psi_rv_lag_21,psi_abs_ret_lag1
2018-05-04,0.8161,7.6397,11.3524,0.8161
2018-08-03,0.0829,3.4628,5.1513,0.0829
2018-11-01,0.1661,1.8844,2.3414,0.1661
2019-02-05,3.7274,8.3061,16.5636,3.7274
2019-05-07,0.137,0.5043,3.4829,0.137
2019-08-06,0.3679,2.0194,5.5717,0.3679
2019-11-04,0.3855,2.0403,8.5517,0.3855
2020-02-05,0.0881,0.3696,5.9527,0.0881
2020-05-06,2.7934,5.6462,12.956,2.7934
2020-08-05,0.7507,6.0146,14.3345,0.7507
2020-11-03,2.2759,7.5176,14.292,2.2759
2021-02-04,0.1926,2.0699,5.6302,0.1926
2021-05-06,0.3953,2.4334,10.7379,0.3953
2021-08-05,0.1712,0.237,5.4082,0.1712
2021-11-03,0.1569,0.2058,4.2203,0.1569
2022-02-03,2.0933,7.445,7.5003,2.0933
2022-05-05,3.2559,14.7591,16.5636,3.2559
2022-08-05,1.1209,13.1226,16.5636,1.1209
2022-11-03,2.4162,11.1091,16.5636,2.4162
2023-02-06,2.2987,10.7949,14.9211,2.2987
2023-05-08,0.5256,5.6046,9.2444,0.5256
2023-08-08,0.249,3.9513,11.2021,0.249
2023-11-06,0.4486,5.4918,12.4337,0.4486
2024-02-07,0.1171,0.4094,5.1826,0.1171
2024-05-08,0.34,0.9615,8.8926,0.34
2024-08-08,0.1664,0.5282,3.6524,0.1664
2024-11-06,1.7187,0.8644,7.0339,1.7187
