date,psi_rv_lag_1,psi_rv_lag_5,psi_rv_lag_21,psi_abs_ret_lag1
2018-05-04,2.0777,5.7323,11.053,2.0777
2018-08-03,0.1477,1.8753,7.4389,0.1477
2018-11-01,0.2645,2.0766,3.8571,0.2645
2019-02-05,0.5123,7.6039,14.4128,0.5123
2019-05-07,0.0989,1.941,5.3724,0.0989
2019-08-06,0.3848,0.4468,8.6857,0.3848
2019-11-04,0.2918,0.5163,5.7225,0.2918
2020-02-05,0.1582,0.7012,4.1768,0.1582
2020-05-06,1.6453,5.6462,12.9261,1.6453
2020-08-05,3.7433,7.6095,12.6831,3.7433
2020-11-03,0.651,4.0513,7.3917,0.651
2021-02-04,0.2332,2.1309,5.3402,0.2332
2021-05-06,0.2092,0.7538,9.3951,0.2092
2021-08-05,0.1242,0.1212,5.6273,0.1242
2021-11-03,0.2728,0.4224,6.7254,0.2728
2022-02-03,0.4654,3.9391,4.4693,0.4654
2022-05-05,2.6699,12.619,14.4128,2.6699
2022-08-05,0.8642,9.772,14.9211,0.8642
2022-11-03,2.539,12.5151,14.5523,2.539
2023-02-06,0.6461,9.0872,14.1764,0.6461
2023-05-08,0.3024,5.4204,11.1082,0.3024
2023-08-08,0.2941,3.7643,7.3307,0.2941
2023-11-06,0.3198,5.4928,9.0042,0.3198
2024-02-07,0.0926,2.0329,6.832,0.0926
2024-05-08,0.3098,5.4723,10.4685,0.3098
2024-08-08,0.2416,0.2841,1.9963,0.2416
2024-11-06,0.188,1.9829,6.7857,0.188
