date,ticker,rmse,qlike,baseline_rmse,alert_upper_rmse,psi_rv,psi_feat_max,perf_alert,drift_alert,health_alert,health_all_same,health_has_negative,health_extreme_outlier,alert_level
2016-08-03,SPY,0.04871895,733054.773829,0.03231271,0.0452378,,,1,0,1,0,1,1,RED
2016-09-01,SPY,0.04789908,635650.960663,0.03231271,0.0452378,,,1,0,1,0,1,1,RED
2016-10-03,SPY,0.02325522,238415.056451,0.03231271,0.0452378,,,0,0,1,0,1,0,YELLOW
2016-11-01,SPY,0.02267566,83878.497375,0.03231271,0.0452378,,,0,0,1,0,1,0,YELLOW
2016-12-01,SPY,0.02745027,128367.793194,0.03231271,0.0452378,,,0,0,1,0,1,0,YELLOW
2017-01-03,SPY,0.01792472,44488.849049,0.03231271,0.0452378,,,0,0,1,0,1,0,YELLOW
2017-02-02,SPY,0.01729211,44487.195579,0.03231271,0.0452378,,,0,0,1,0,1,0,YELLOW
2017-03-06,SPY,0.00966818,156.127631,0.03231271,0.0452378,,,0,0,1,0,1,0,YELLOW
2017-04-04,SPY,0.00914965,610.796996,0.03231271,0.0452378,,,0,0,1,0,1,0,YELLOW
2017-05-04,SPY,0.01000763,611.838291,0.03231271,0.0452378,,,0,0,1,0,1,0,YELLOW
2017-06-05,SPY,0.01299518,17269.102741,0.03231271,0.0452378,,,0,0,1,0,1,0,YELLOW
2017-07-05,SPY,0.01276934,16814.053347,0.03231271,0.0452378,,,0,0,1,0,1,0,YELLOW
2017-08-03,SPY,0.01192772,16812.665194,0.03231271,0.0452378,,,0,0,1,0,1,0,YELLOW
2017-09-01,SPY,0.01256148,41342.186141,0.03231271,0.0452378,,,0,0,1,0,1,0,YELLOW
2017-10-03,SPY,0.01192748,41433.044691,0.03231271,0.0452378,,,0,0,1,0,1,0,YELLOW
2017-11-01,SPY,0.01197918,41433.406717,0.03231271,0.0452378,,,0,0,1,0,1,0,YELLOW
2017-12-01,SPY,0.00644445,30480.222924,0.03231271,0.0452378,,,0,0,1,0,1,0,YELLOW
2018-01-03,SPY,0.00632459,30389.138795,0.03231271,0.0452378,,,0,0,1,0,1,0,YELLOW
2018-02-02,SPY,0.06040304,73430.960016,0.03231271,0.0452378,,,1,0,1,0,1,0,RED
2018-03-06,SPY,0.07933069,791761.943574,0.03231271,0.0452378,,,1,0,1,0,1,0,RED
2018-04-05,SPY,0.09016823,1234937.904413,0.03231271,0.0452378,0.4047,,1,1,1,0,1,0,RED
2018-05-04,SPY,0.06821218,1199692.707132,0.03231271,0.0452378,0.4047,11.053,1,1,1,0,1,0,RED
2018-06-05,SPY,0.04560261,744636.934732,0.03231271,0.0452378,0.4047,11.053,1,1,1,0,1,0,RED
2018-07-05,SPY,0.01696188,491206.606939,0.03231271,0.0452378,0.1246,11.053,0,1,1,0,1,0,RED
2018-08-03,SPY,0.0133686,656827.191551,0.03231271,0.0452378,0.1246,7.4389,0,1,1,0,1,0,RED
2018-09-04,SPY,0.01010007,392035.873195,0.03231271,0.0452378,0.1246,7.4389,0,1,1,0,1,0,RED
2018-10-03,SPY,0.0075328,202290.966295,0.03231271,0.0452378,1.7676,7.4389,0,1,1,0,1,0,RED
2018-11-01,SPY,0.05357184,702040.189653,0.03231271,0.0452378,1.7676,3.8571,1,1,1,0,1,1,RED
2018-12-03,SPY,0.06987453,673168.687541,0.03231271,0.0452378,1.7676,3.8571,1,1,1,0,1,1,RED
2019-01-04,SPY,0.11506942,673170.385406,0.03231271,0.0452378,0.8501,3.8571,1,1,1,0,1,1,RED
2019-02-05,SPY,0.102681,30586.723114,0.03231271,0.0452378,0.8501,14.4128,1,1,1,0,1,0,RED
2019-03-07,SPY,0.09263536,274592.20149,0.03231271,0.0452378,0.8501,14.4128,1,1,1,0,1,0,RED
2019-04-05,SPY,0.02130069,678549.016228,0.03231271,0.0452378,0.0803,14.4128,0,1,1,0,1,0,RED
2019-05-07,SPY,0.02041853,913473.324162,0.03231271,0.0452378,0.0803,5.3724,0,1,1,0,1,0,RED
2019-06-06,SPY,0.03309882,1161452.842188,0.03231271,0.0452378,0.0803,5.3724,0,1,1,0,1,0,RED
2019-07-08,SPY,0.02996941,897417.272482,0.03231271,0.0452378,0.1222,5.3724,0,1,1,0,1,0,RED
2019-08-06,SPY,0.04162904,679399.900992,0.03231271,0.0452378,0.1222,8.6857,0,1,1,0,1,0,RED
2019-09-05,SPY,0.05104423,357116.654059,0.03231271,0.0452378,0.1222,8.6857,1,1,1,0,1,0,RED
2019-10-04,SPY,0.05230106,477765.343498,0.03231271,0.0452378,0.3228,8.6857,1,1,1,0,1,0,RED
2019-11-04,SPY,0.04351207,568608.083103,0.03231271,0.0452378,0.3228,5.7225,0,1,1,0,1,0,RED
2019-12-04,SPY,0.0170836,526555.944181,0.03231271,0.0452378,0.3228,5.7225,0,1,1,0,1,0,RED
2020-01-06,SPY,0.0120581,299419.749844,0.03231271,0.0452378,0.267,5.7225,0,1,1,0,1,0,RED
2020-02-05,SPY,0.01816421,261604.913138,0.03231271,0.0452378,0.267,4.1768,0,1,1,0,1,0,RED
2020-03-06,SPY,0.22684498,985101.233327,0.03231271,0.0452378,0.267,4.1768,1,1,1,0,1,1,RED
2020-04-06,SPY,0.59619264,951666.178346,0.03231271,0.0452378,1.0047,4.1768,1,1,1,0,1,0,RED
2020-05-06,SPY,0.59784277,851149.418833,0.03231271,0.0452378,1.0047,12.9261,1,1,1,0,1,0,RED
2020-06-05,SPY,0.55488089,378732.41607,0.03231271,0.0452378,1.0047,12.9261,1,1,1,0,1,0,RED
2020-07-07,SPY,0.13177799,497272.436025,0.03231271,0.0452378,2.5253,12.9261,1,1,1,0,1,0,RED
2020-08-05,SPY,0.12343009,751679.345996,0.03231271,0.0452378,2.5253,12.6831,1,1,1,0,1,1,RED
2020-09-03,SPY,0.12363845,1221238.614911,0.03231271,0.0452378,2.5253,12.6831,1,1,1,0,1,1,RED
2020-10-05,SPY,0.05616869,1306272.632884,0.03231271,0.0452378,2.0954,12.6831,1,1,1,0,1,0,RED
2020-11-03,SPY,0.07187213,1354313.438063,0.03231271,0.0452378,2.0954,7.3917,1,1,1,0,1,0,RED
2020-12-03,SPY,0.06180012,831447.981906,0.03231271,0.0452378,2.0954,7.3917,1,1,1,0,1,0,RED
2021-01-05,SPY,0.05059633,902050.963091,0.03231271,0.0452378,0.3405,7.3917,1,1,1,0,1,0,RED
2021-02-04,SPY,0.03459253,1011616.898512,0.03231271,0.0452378,0.3405,5.3402,0,1,1,0,1,0,RED
2021-03-08,SPY,0.04211548,1054937.357946,0.03231271,0.0452378,0.3405,5.3402,0,1,1,0,1,0,RED
