date,psi,jsd,ks_stat,ks_pvalue,drift_flag,psi_level
2018-04-05,0.1407,0.0453,0.1402,0.1875,1,moderate
2018-07-05,0.1314,0.0444,0.1032,0.5373,1,moderate
2018-10-03,0.154,0.0349,0.0886,0.723,1,moderate
2019-01-04,0.8315,0.1025,0.3571,0.0,1,major
2019-04-05,0.1572,0.0514,0.131,0.2525,1,moderate
2019-07-08,0.1398,0.048,0.1376,0.2046,1,moderate
2019-10-04,0.2597,0.0584,0.1733,0.0547,1,major
2020-01-06,0.139,0.0381,0.0899,0.7062,1,moderate
2020-04-06,0.7731,0.1162,0.3849,0.0,1,major
2020-07-07,0.4133,0.0676,0.2487,0.0012,1,major
2020-10-05,0.8248,0.1009,0.3836,0.0,1,major
2021-01-05,0.2863,0.0877,0.2169,0.0072,1,major
2021-04-07,0.4772,0.0651,0.2632,0.0005,1,major
2021-07-07,0.2374,0.0661,0.1944,0.0217,1,moderate
2021-10-05,0.0693,0.0266,0.0913,0.6893,0,stable
2022-01-04,0.371,0.0417,0.1243,0.3081,1,major
2022-04-05,0.5575,0.0849,0.332,0.0,1,major
2022-07-07,2.3548,0.1267,0.4008,0.0,1,major
2022-10-05,0.308,0.0656,0.2302,0.0035,1,major
2023-01-05,0.5954,0.0831,0.3175,0.0,1,major
2023-04-06,1.8439,0.0591,0.2262,0.0044,1,major
2023-07-10,0.2435,0.0617,0.131,0.2525,1,moderate
2023-10-06,0.2471,0.0373,0.1243,0.3081,1,moderate
2024-01-08,0.2348,0.0373,0.1045,0.521,1,moderate
2024-04-09,0.2233,0.0673,0.1217,0.3326,1,moderate
2024-07-10,0.2487,0.0656,0.1825,0.037,1,moderate
2024-10-08,0.109,0.0438,0.078,0.8481,1,moderate
