date,psi,jsd,ks_stat,ks_pvalue,drift_flag,psi_level
2018-04-05,0.4655,0.088,0.2579,0.0007,1,major
2018-07-05,0.1288,0.0577,0.1786,0.0439,1,moderate
2018-10-03,0.1701,0.0352,0.0807,0.819,1,moderate
2019-01-04,2.591,0.1387,0.4114,0.0,1,major
2019-04-05,0.0675,0.044,0.0926,0.6722,0,stable
2019-07-08,0.1737,0.0281,0.1362,0.2136,1,moderate
2019-10-04,0.2454,0.0678,0.2196,0.0063,1,moderate
2020-01-06,0.3837,0.044,0.127,0.2849,1,major
2020-04-06,0.9168,0.115,0.3757,0.0,1,major
2020-07-07,0.8807,0.1243,0.3995,0.0,1,major
2020-10-05,2.2834,0.0982,0.418,0.0,1,major
2021-01-05,0.2229,0.0651,0.172,0.0578,1,moderate
2021-04-07,0.5655,0.0867,0.2817,0.0001,1,major
2021-07-07,0.2473,0.0346,0.1587,0.0972,1,moderate
2021-10-05,0.1617,0.0471,0.086,0.7561,1,moderate
2022-01-04,0.4573,0.0656,0.2857,0.0001,1,major
2022-04-05,1.3572,0.1837,0.5291,0.0,1,major
2022-07-07,1.4809,0.2091,0.5265,0.0,1,major
2022-10-05,0.7199,0.1085,0.3519,0.0,1,major
2023-01-05,2.324,0.1079,0.4405,0.0,1,major
2023-04-06,0.7679,0.0967,0.3968,0.0,1,major
2023-07-10,0.2091,0.0397,0.1521,0.1241,1,moderate
2023-10-06,0.2874,0.0491,0.2116,0.0094,1,major
2024-01-08,0.2732,0.0399,0.1587,0.0972,1,major
2024-04-09,0.0748,0.0426,0.1204,0.3453,0,stable
2024-07-10,0.1746,0.0418,0.1455,0.1568,1,moderate
2024-10-08,0.4517,0.0942,0.2804,0.0002,1,major
