date,psi,jsd,ks_stat,ks_pvalue,drift_flag,psi_level
2018-04-05,0.4047,0.0645,0.2566,0.0008,1,major
2018-07-05,0.1246,0.0333,0.1111,0.443,1,moderate
2018-10-03,1.7676,0.062,0.1984,0.018,1,major
2019-01-04,0.8501,0.0968,0.3413,0.0,1,major
2019-04-05,0.0803,0.0327,0.1005,0.5704,0,stable
2019-07-08,0.1222,0.0576,0.0992,0.5872,1,moderate
2019-10-04,0.3228,0.0529,0.2116,0.0094,1,major
2020-01-06,0.267,0.0564,0.1455,0.1568,1,major
2020-04-06,1.0047,0.135,0.4233,0.0,1,major
2020-07-07,2.5253,0.1172,0.4352,0.0,1,major
2020-10-05,2.0954,0.0759,0.3228,0.0,1,major
2021-01-05,0.3405,0.0501,0.2156,0.0077,1,major
2021-04-07,0.3116,0.0497,0.2103,0.0101,1,major
2021-07-07,0.1447,0.0287,0.086,0.7561,1,moderate
2021-10-05,0.2166,0.0294,0.1481,0.1429,1,moderate
2022-01-04,0.2263,0.0389,0.1984,0.018,1,moderate
2022-04-05,2.426,0.1343,0.4153,0.0,1,major
2022-07-07,2.3261,0.1333,0.3796,0.0,1,major
2022-10-05,0.8854,0.1133,0.3929,0.0,1,major
2023-01-05,2.4361,0.0913,0.4312,0.0,1,major
2023-04-06,0.4232,0.0796,0.291,0.0001,1,major
2023-07-10,0.141,0.0281,0.1376,0.2046,1,moderate
2023-10-06,0.2717,0.0527,0.1706,0.061,1,major
2024-01-08,0.117,0.0322,0.1812,0.0392,1,moderate
2024-04-09,0.1421,0.0285,0.1177,0.3717,1,moderate
2024-07-10,0.2081,0.0268,0.0847,0.7723,1,moderate
2024-10-08,0.3005,0.0824,0.2037,0.014,1,major
