Ticker,Estimator,MSE,QLIKE,N
SPY,rv_rolling_21d,4303608.39623142,425.6355,2493
SPY,park_vol_21d,4303613.43165779,539.379835,2493
SPY,gk_vol_21d,4303612.96802192,533.790796,2493
SPY,rv_5min_ann,8538686.14749314,94325.00928,2513
SPY,bv_5min_ann,8487012.07457741,95519.624337,2513
SPY,rk_5min_ann,9774186.96216652,94133.833204,2513
QQQ,rv_rolling_21d,52798497.4468889,891.847795,2493
QQQ,park_vol_21d,52798520.5815421,1164.113594,2493
QQQ,gk_vol_21d,52798520.23993912,1167.488359,2493
QQQ,rv_5min_ann,104756623.96499224,216908.201736,2513
QQQ,bv_5min_ann,104155026.67778625,239886.7314,2513
QQQ,rk_5min_ann,112713737.00335126,271977.788613,2513
AAPL,rv_rolling_21d,37027599.5515705,766.0504,2493
AAPL,park_vol_21d,37027631.48976874,863.810623,2493
AAPL,gk_vol_21d,37027632.94204526,867.791714,2493
AAPL,rv_5min_ann,73465881.1809824,1206733.779642,2513
AAPL,bv_5min_ann,73013987.96243837,1346584.974924,2513
AAPL,rk_5min_ann,78128695.40256362,1570499.723484,2513
