Ticker,Lag,corr_r_rv,corr_r2_rv,corr_abs_rv,tstat_r_rv,n
SPY,1,-0.0872,0.4601,0.3776,-4.387,2514
SPY,2,-0.1712,0.5453,0.4366,-8.708,2513
SPY,3,-0.113,0.3651,0.3497,-5.698,2512
SPY,5,-0.0821,0.3253,0.3166,-4.124,2510
SPY,10,-0.043,0.2512,0.2643,-2.151,2505
SPY,21,-0.0349,0.0484,0.0654,-1.743,2494
QQQ,1,-0.069,0.416,0.3117,-3.465,2514
QQQ,2,-0.1361,0.4114,0.3357,-6.885,2513
QQQ,3,-0.1073,0.2774,0.272,-5.409,2512
QQQ,5,-0.0535,0.27,0.2725,-2.683,2510
QQQ,10,-0.0322,0.2228,0.2274,-1.611,2505
QQQ,21,-0.0207,0.0392,0.0504,-1.035,2494
AAPL,1,-0.0455,0.2806,0.215,-2.284,2514
AAPL,2,-0.1221,0.2458,0.2109,-6.163,2513
AAPL,3,-0.0411,0.1535,0.1663,-2.061,2512
AAPL,5,-0.0203,0.2109,0.2028,-1.015,2510
AAPL,10,-0.0046,0.1723,0.1538,-0.232,2505
AAPL,21,-0.0339,0.044,0.053,-1.692,2494
