response,shock,period,irf
SPY,SPY,0,0.0915344807606016
SPY,SPY,1,0.015788398368572286
SPY,SPY,2,0.037597118172171144
SPY,SPY,3,0.014352847705631139
SPY,SPY,4,0.011990044402951464
SPY,SPY,5,0.013425009093916798
SPY,SPY,6,0.022669805768614024
SPY,SPY,7,0.011065569638361793
SPY,SPY,8,0.021578694420235224
SPY,SPY,9,0.012340651875780758
SPY,SPY,10,0.015284321955410202
SPY,SPY,11,0.012301506790499898
SPY,SPY,12,0.009021623959057116
SPY,SPY,13,0.007925515896153213
SPY,SPY,14,0.008484688774399167
SPY,SPY,15,0.008766807679402288
SPY,SPY,16,0.008866993103576666
SPY,SPY,17,0.00726522074239997
SPY,SPY,18,0.006275725097080208
SPY,SPY,19,0.005885535905497511
SPY,SPY,20,0.004629564018473195
SPY,QQQ,0,0.0
SPY,QQQ,1,-0.016248485856694823
SPY,QQQ,2,-0.020895630682125275
SPY,QQQ,3,-0.019383371694501775
SPY,QQQ,4,-0.016349698162278246
SPY,QQQ,5,-0.006547503825893441
SPY,QQQ,6,-0.0037733976021778856
SPY,QQQ,7,-0.009176424055522433
SPY,QQQ,8,-0.003910108027947143
SPY,QQQ,9,-0.010978802967186771
SPY,QQQ,10,0.0008282041564937623
SPY,QQQ,11,-0.008032549035672274
SPY,QQQ,12,-0.0034860226721505085
SPY,QQQ,13,-0.004527495101186099
SPY,QQQ,14,-0.001866717761960423
SPY,QQQ,15,-0.0023741678988041665
SPY,QQQ,16,0.0001785682938744611
SPY,QQQ,17,-0.0021410384272965177
SPY,QQQ,18,-0.0009812112332390178
SPY,QQQ,19,-0.0014228731987581365
SPY,QQQ,20,-0.0006460036178086653
SPY,AAPL,0,0.0
SPY,AAPL,1,0.0076408444050506084
SPY,AAPL,2,0.0012488765996604729
SPY,AAPL,3,-0.0010270355670729254
SPY,AAPL,4,-0.0002385536751535378
SPY,AAPL,5,0.00021419891636247494
SPY,AAPL,6,-0.0020525838050765993
SPY,AAPL,7,0.003220028524564741
SPY,AAPL,8,0.007033633645234468
SPY,AAPL,9,0.009382005656136706
SPY,AAPL,10,0.014218422408883154
SPY,AAPL,11,0.006974980079438601
SPY,AAPL,12,0.006382134830920872
SPY,AAPL,13,0.0049689838099111735
SPY,AAPL,14,0.005287427704345677
SPY,AAPL,15,0.00534408308044824
SPY,AAPL,16,0.006399121102494968
SPY,AAPL,17,0.005073665690869124
SPY,AAPL,18,0.006012493034102677
SPY,AAPL,19,0.004951287770514336
SPY,AAPL,20,0.00422227237964911
QQQ,SPY,0,0.100050034234214
QQQ,SPY,1,0.027175444949479797
QQQ,SPY,2,0.04349436303124094
QQQ,SPY,3,0.0187904118848475
QQQ,SPY,4,0.01051532743895944
QQQ,SPY,5,0.02200437357297188
QQQ,SPY,6,0.023430666242240494
QQQ,SPY,7,0.006917000681512095
QQQ,SPY,8,0.018421660060444017
QQQ,SPY,9,0.014057339634759403
QQQ,SPY,10,0.017038129962962528
QQQ,SPY,11,0.013707516066020182
