date,F_stat,p_value,significant
2016-01-05,0.0071,0.9327,False
2016-01-06,0.0,0.9981,False
2016-01-07,0.0001,0.9939,False
2016-01-08,0.0112,0.9157,False
2016-01-11,0.0087,0.9257,False
2016-01-12,0.011,0.9164,False
2016-01-13,0.0183,0.8925,False
2016-01-14,0.0059,0.9389,False
2016-01-15,0.0061,0.9377,False
2016-01-19,0.0,0.9988,False
2016-01-20,0.0187,0.8912,False
2016-01-21,0.0277,0.8679,False
2016-01-22,0.035,0.8517,False
2016-01-25,0.0257,0.8728,False
2016-01-26,0.0039,0.9502,False
2016-01-27,0.0107,0.9175,False
2016-01-28,0.0092,0.9238,False
2016-01-29,0.0015,0.9691,False
2016-02-01,0.0033,0.9541,False
2016-02-02,0.0122,0.9121,False
2016-02-03,0.0136,0.9071,False
2016-02-04,0.0095,0.9224,False
2016-02-05,0.0126,0.9107,False
2016-02-08,0.0204,0.8866,False
2016-02-09,0.003,0.9567,False
2016-02-10,0.0006,0.9799,False
2016-02-11,0.0005,0.9817,False
2016-02-12,0.0005,0.9819,False
2016-02-16,0.001,0.9749,False
2016-02-17,0.011,0.9164,False
2016-02-18,0.0109,0.9171,False
2016-02-19,0.0063,0.9366,False
2016-02-22,0.0083,0.9276,False
2016-02-23,0.0111,0.9162,False
2016-02-24,0.0077,0.9301,False
2016-02-25,0.009,0.9244,False
2016-02-26,0.0049,0.9445,False
2016-02-29,0.0032,0.9551,False
2016-03-01,0.0027,0.9582,False
2016-03-02,0.021,0.8848,False
2016-03-03,0.0322,0.8577,False
2016-03-04,0.0319,0.8584,False
2016-03-07,0.031,0.8605,False
2016-03-08,0.0397,0.8423,False
2016-03-09,0.0353,0.8511,False
2016-03-10,0.0366,0.8485,False
2016-03-11,0.0301,0.8623,False
2016-03-14,0.0301,0.8623,False
2016-03-15,0.0192,0.89,False
2016-03-16,0.0216,0.8832,False
2016-03-17,0.0228,0.8802,False
2016-03-18,0.0243,0.8763,False
2016-03-21,0.0231,0.8794,False
2016-03-22,0.0214,0.8839,False
2016-03-23,0.0194,0.8893,False
2016-03-24,0.014,0.9058,False
2016-03-28,0.0137,0.907,False
2016-03-29,0.0134,0.908,False
2016-03-30,0.0146,0.904,False
2016-03-31,0.0154,0.9014,False
2016-04-01,0.018,0.8933,False
2016-04-04,0.0202,0.8872,False
2016-04-05,0.0176,0.8946,False
2016-04-06,0.0163,0.8985,False
2016-04-07,0.0174,0.8951,False
2016-04-08,0.0206,0.8859,False
2016-04-11,0.0252,0.8741,False
2016-04-12,0.0254,0.8735,False
2016-04-13,0.0264,0.8711,False
2016-04-14,0.0277,0.868,False
2016-04-15,0.028,0.8673,False
2016-04-18,0.0246,0.8754,False
2016-04-19,0.0271,0.8693,False
2016-04-20,0.0288,0.8655,False
2016-04-21,0.0277,0.868,False
2016-04-22,0.0251,0.8742,False
2016-04-25,0.0244,0.8761,False
2016-04-26,0.0215,0.8834,False
2016-04-27,0.0173,0.8956,False
2016-04-28,0.0152,0.902,False
2016-04-29,0.0081,0.9284,False
2016-05-02,0.0153,0.9016,False
2016-05-03,0.0075,0.9311,False
2016-05-04,0.0055,0.941,False
2016-05-05,0.0052,0.9427,False
2016-05-06,0.0055,0.9409,False
2016-05-09,0.0048,0.9451,False
2016-05-10,0.0037,0.9517,False
2016-05-11,0.0043,0.9479,False
2016-05-12,0.0038,0.9509,False
2016-05-13,0.0026,0.9594,False
2016-05-16,0.0035,0.9527,False
2016-05-17,0.0043,0.9475,False
2016-05-18,0.0043,0.9478,False
2016-05-19,0.0028,0.9575,False
2016-05-20,0.0033,0.954,False
2016-05-23,0.0036,0.9521,False
2016-05-24,0.0025,0.9598,False
2016-05-25,0.0031,0.956,False
2016-05-26,0.0013,0.9708,False
2016-05-27,0.0022,0.9624,False
2016-05-31,0.0021,0.9633,False
2016-06-01,0.002,0.9647,False
2016-06-02,0.002,0.9645,False
2016-06-03,0.0027,0.9587,False
2016-06-06,0.0033,0.9542,False
2016-06-07,0.0026,0.9591,False
2016-06-08,0.0035,0.9527,False
2016-06-09,0.0026,0.9596,False
2016-06-10,0.0035,0.9527,False
2016-06-13,0.0039,0.9504,False
2016-06-14,0.0035,0.9531,False
2016-06-15,0.0044,0.9474,False
2016-06-16,0.0045,0.9467,False
2016-06-17,0.0032,0.9549,False
2016-06-20,0.0063,0.937,False
2016-06-21,0.0084,0.927,False
2016-06-22,0.0082,0.928,False
2016-06-23,0.0083,0.9273,False
2016-06-24,0.0099,0.9207,False
2016-06-27,0.0959,0.7571,False
2016-06-28,0.0407,0.8403,False
2016-06-29,0.0805,0.7768,False
2016-06-30,0.0878,0.7673,False
2016-07-01,0.0851,0.7708,False
2016-07-05,0.0849,0.771,False
2016-07-06,0.0852,0.7707,False
2016-07-07,0.0786,0.7795,False
2016-07-08,0.0674,0.7953,False
2016-07-11,0.0766,0.7822,False
2016-07-12,0.0737,0.7862,False
2016-07-13,0.0737,0.7863,False
2016-07-14,0.0751,0.7843,False
2016-07-15,0.0728,0.7875,False
2016-07-18,0.077,0.7817,False
2016-07-19,0.0856,0.7701,False
2016-07-20,0.078,0.7802,False
2016-07-21,0.0782,0.78,False
2016-07-22,0.032,0.8581,False
2016-07-25,0.0311,0.8602,False
2016-07-26,0.0319,0.8584,False
2016-07-27,0.033,0.856,False
2016-07-28,0.0355,0.8506,False
2016-07-29,0.1168,0.7328,False
2016-08-01,0.122,0.7272,False
2016-08-02,0.1204,0.7289,False
2016-08-03,0.1106,0.7398,False
2016-08-04,0.0984,0.7541,False
2016-08-05,0.0943,0.7591,False
2016-08-08,0.1121,0.7381,False
2016-08-09,0.1114,0.7388,False
2016-08-10,0.114,0.7359,False
2016-08-11,0.0409,0.84,False
2016-08-12,0.0379,0.8458,False
2016-08-15,0.0375,0.8467,False
2016-08-16,0.0363,0.8491,False
2016-08-17,0.0378,0.8459,False
2016-08-18,0.0364,0.8488,False
2016-08-19,0.0347,0.8525,False
2016-08-22,0.0461,0.8302,False
2016-08-23,0.2978,0.5858,False
2016-08-24,0.5007,0.4798,False
2016-08-25,0.4903,0.4845,False
2016-08-26,0.5179,0.4724,False
2016-08-29,0.5003,0.48,False
2016-08-30,0.4885,0.4852,False
2016-08-31,0.346,0.5569,False
2016-09-01,0.7256,0.3951,False
2016-09-02,0.5786,0.4476,False
2016-09-06,0.5744,0.4492,False
2016-09-07,0.5023,0.4791,False
2016-09-08,0.4956,0.4821,False
