date,F_stat,p_value,significant
2016-01-05,8.4563,0.004,True
2016-01-06,8.754,0.0034,True
2016-01-07,9.0296,0.0029,True
2016-01-08,9.0273,0.0029,True
2016-01-11,8.8477,0.0032,True
2016-01-12,8.9502,0.0031,True
2016-01-13,9.1263,0.0028,True
2016-01-14,8.7029,0.0035,True
2016-01-15,8.6911,0.0035,True
2016-01-19,8.3932,0.0041,True
2016-01-20,8.4048,0.0041,True
2016-01-21,8.4831,0.0039,True
2016-01-22,8.7097,0.0035,True
2016-01-25,8.4655,0.0039,True
2016-01-26,8.0776,0.0049,True
2016-01-27,8.1415,0.0047,True
2016-01-28,8.0954,0.0048,True
2016-01-29,5.7428,0.0173,True
2016-02-01,5.2763,0.0225,True
2016-02-02,5.1243,0.0245,True
2016-02-03,5.1039,0.0247,True
2016-02-04,5.0389,0.0257,True
2016-02-05,4.9981,0.0263,True
2016-02-08,4.8118,0.0292,True
2016-02-09,4.799,0.0294,True
2016-02-10,4.9118,0.0276,True
2016-02-11,4.9618,0.0268,True
2016-02-12,4.9224,0.0274,True
2016-02-16,4.5436,0.034,True
2016-02-17,4.3044,0.039,True
2016-02-18,4.3397,0.0383,True
2016-02-19,4.415,0.0366,True
2016-02-22,4.3517,0.038,True
2016-02-23,4.2638,0.04,True
2016-02-24,4.362,0.0378,True
2016-02-25,4.2914,0.0393,True
2016-02-26,4.4301,0.0363,True
2016-02-29,4.5181,0.0345,True
2016-03-01,4.5336,0.0342,True
2016-03-02,4.1389,0.043,True
2016-03-03,3.7473,0.054,False
2016-03-04,3.7501,0.0539,False
2016-03-07,3.7348,0.0544,False
2016-03-08,3.6099,0.0586,False
2016-03-09,3.6888,0.0559,False
2016-03-10,3.7123,0.0552,False
2016-03-11,3.7138,0.0551,False
2016-03-14,3.6307,0.0579,False
2016-03-15,3.7955,0.0525,False
2016-03-16,3.7463,0.0541,False
2016-03-17,3.6965,0.0557,False
2016-03-18,3.6499,0.0572,False
2016-03-21,3.6807,0.0562,False
2016-03-22,3.6911,0.0558,False
2016-03-23,3.7122,0.0552,False
2016-03-24,3.7828,0.0529,False
2016-03-28,3.9118,0.0491,True
2016-03-29,3.9164,0.0489,True
2016-03-30,3.9303,0.0485,True
2016-03-31,3.8972,0.0495,True
2016-04-01,3.8681,0.0503,False
2016-04-04,3.8532,0.0508,False
2016-04-05,3.868,0.0503,False
2016-04-06,3.8793,0.05,True
2016-04-07,3.869,0.0503,False
2016-04-08,3.829,0.0515,False
2016-04-11,3.7705,0.0533,False
2016-04-12,3.7711,0.0533,False
2016-04-13,3.7383,0.0543,False
2016-04-14,3.7214,0.0549,False
2016-04-15,3.7091,0.0553,False
2016-04-18,3.7514,0.0539,False
2016-04-19,3.7122,0.0552,False
2016-04-20,3.7213,0.0549,False
2016-04-21,3.7299,0.0546,False
2016-04-22,3.748,0.054,False
2016-04-25,3.7456,0.0541,False
2016-04-26,3.7503,0.0539,False
2016-04-27,3.8022,0.0523,False
2016-04-28,3.8357,0.0513,False
2016-04-29,3.0718,0.0809,False
2016-05-02,2.9527,0.087,False
2016-05-03,3.089,0.0801,False
2016-05-04,3.116,0.0788,False
2016-05-05,3.154,0.077,False
2016-05-06,3.1504,0.0771,False
2016-05-09,3.1967,0.075,False
