date,F_stat,p_value,significant
2016-01-05,7.0477,0.0085,True
2016-01-06,7.4036,0.007,True
2016-01-07,7.3611,0.0071,True
2016-01-08,6.6302,0.0106,True
2016-01-11,5.7415,0.0173,True
2016-01-12,5.7433,0.0173,True
2016-01-13,5.6693,0.018,True
2016-01-14,5.6562,0.0182,True
2016-01-15,5.5151,0.0196,True
2016-01-19,5.5676,0.0191,True
2016-01-20,4.6189,0.0326,True
2016-01-21,4.5119,0.0347,True
2016-01-22,4.5685,0.0335,True
2016-01-25,3.9863,0.047,True
2016-01-26,4.0751,0.0446,True
2016-01-27,4.1887,0.0417,True
2016-01-28,2.8248,0.0941,False
2016-01-29,4.911,0.0276,True
2016-02-01,5.0819,0.025,True
2016-02-02,5.0615,0.0253,True
2016-02-03,5.0286,0.0258,True
2016-02-04,5.0702,0.0252,True
2016-02-05,5.111,0.0246,True
2016-02-08,5.0363,0.0257,True
2016-02-09,4.2208,0.041,True
2016-02-10,4.1306,0.0432,True
2016-02-11,4.1175,0.0435,True
2016-02-12,4.0887,0.0442,True
2016-02-16,4.1364,0.043,True
2016-02-17,4.2994,0.0392,True
2016-02-18,4.224,0.0409,True
2016-02-19,4.1978,0.0415,True
2016-02-22,4.2086,0.0413,True
2016-02-23,4.2591,0.0401,True
2016-02-24,4.1946,0.0416,True
2016-02-25,4.2449,0.0404,True
2016-02-26,4.1939,0.0416,True
2016-02-29,4.1677,0.0423,True
2016-03-01,4.1395,0.043,True
2016-03-02,4.1374,0.043,True
2016-03-03,3.7569,0.0537,False
2016-03-04,3.7778,0.0531,False
2016-03-07,3.7131,0.0551,False
2016-03-08,3.7915,0.0526,False
2016-03-09,3.8296,0.0515,False
2016-03-10,3.8293,0.0515,False
2016-03-11,3.8425,0.0511,False
2016-03-14,3.8057,0.0522,False
2016-03-15,3.6673,0.0566,False
2016-03-16,3.6578,0.057,False
2016-03-17,3.6537,0.0571,False
2016-03-18,3.6704,0.0565,False
2016-03-21,3.68,0.0562,False
2016-03-22,3.6829,0.0561,False
2016-03-23,3.658,0.057,False
2016-03-24,3.7302,0.0546,False
2016-03-28,3.8703,0.0503,False
2016-03-29,3.8748,0.0501,False
2016-03-30,3.886,0.0498,True
2016-03-31,3.8705,0.0503,False
2016-04-01,3.9217,0.0488,True
2016-04-04,3.9332,0.0484,True
2016-04-05,3.9199,0.0488,True
2016-04-06,3.9146,0.049,True
2016-04-07,3.875,0.0501,False
2016-04-08,3.9335,0.0484,True
2016-04-11,3.922,0.0488,True
2016-04-12,3.9265,0.0486,True
2016-04-13,3.9138,0.049,True
2016-04-14,3.8965,0.0495,True
2016-04-15,3.8653,0.0504,False
2016-04-18,3.8337,0.0514,False
2016-04-19,3.7107,0.0552,False
2016-04-20,3.7966,0.0525,False
2016-04-21,3.7988,0.0524,False
2016-04-22,3.7815,0.053,False
2016-04-25,3.7986,0.0524,False
2016-04-26,3.7013,0.0555,False
2016-04-27,3.719,0.0549,False
2016-04-28,2.8526,0.0925,False
2016-04-29,1.9213,0.167,False
2016-05-02,1.9934,0.1592,False
2016-05-03,1.9617,0.1626,False
2016-05-04,1.98,0.1606,False
2016-05-05,2.0119,0.1573,False
2016-05-06,2.0209,0.1564,False
2016-05-09,2.0438,0.1541,False
2016-05-10,2.0557,0.1529,False
2016-05-11,2.0461,0.1539,False
2016-05-12,2.0048,0.1581,False
2016-05-13,2.0192,0.1566,False
2016-05-16,2.0903,0.1495,False
2016-05-17,1.9889,0.1597,False
2016-05-18,2.0727,0.1512,False
2016-05-19,2.0333,0.1551,False
2016-05-20,2.0476,0.1537,False
2016-05-23,2.0392,0.1545,False
2016-05-24,2.0579,0.1527,False
2016-05-25,2.0682,0.1517,False
2016-05-26,2.0933,0.1492,False
2016-05-27,2.1098,0.1476,False
2016-05-31,2.1124,0.1474,False
2016-06-01,2.107,0.1479,False
2016-06-02,2.0943,0.1491,False
2016-06-03,2.1113,0.1475,False
2016-06-06,2.132,0.1455,False
2016-06-07,2.1247,0.1462,False
2016-06-08,2.1559,0.1433,False
2016-06-09,2.1647,0.1425,False
