date,F_stat,p_value,significant
2016-01-05,23.4373,0.0,True
2016-01-06,22.125,0.0,True
2016-01-07,21.9874,0.0,True
2016-01-08,19.9307,0.0,True
2016-01-11,18.4607,0.0,True
2016-01-12,18.6377,0.0,True
2016-01-13,18.7025,0.0,True
2016-01-14,18.6154,0.0,True
2016-01-15,17.717,0.0,True
2016-01-19,18.1455,0.0,True
2016-01-20,15.2432,0.0001,True
2016-01-21,15.2745,0.0001,True
2016-01-22,15.5925,0.0001,True
2016-01-25,15.1522,0.0001,True
2016-01-26,15.0135,0.0001,True
2016-01-27,14.9481,0.0001,True
2016-01-28,15.2827,0.0001,True
2016-01-29,13.5533,0.0003,True
2016-02-01,14.7326,0.0002,True
2016-02-02,16.2071,0.0001,True
2016-02-03,16.4184,0.0001,True
2016-02-04,15.9354,0.0001,True
2016-02-05,16.0015,0.0001,True
2016-02-08,15.6409,0.0001,True
2016-02-09,13.6585,0.0003,True
2016-02-10,13.6954,0.0003,True
2016-02-11,13.8879,0.0002,True
2016-02-12,13.8768,0.0002,True
2016-02-16,12.3267,0.0005,True
2016-02-17,11.6148,0.0008,True
2016-02-18,11.7692,0.0007,True
2016-02-19,11.3475,0.0009,True
2016-02-22,11.1925,0.0009,True
2016-02-23,11.1534,0.001,True
2016-02-24,11.1356,0.001,True
2016-02-25,11.0066,0.001,True
2016-02-26,11.0442,0.001,True
2016-02-29,11.2208,0.0009,True
2016-03-01,11.2219,0.0009,True
2016-03-02,10.934,0.0011,True
2016-03-03,9.7975,0.002,True
2016-03-04,9.8128,0.0019,True
2016-03-07,9.8708,0.0019,True
2016-03-08,9.6912,0.0021,True
2016-03-09,9.8114,0.0019,True
2016-03-10,9.9118,0.0018,True
2016-03-11,9.8975,0.0019,True
2016-03-14,9.6763,0.0021,True
2016-03-15,9.8293,0.0019,True
2016-03-16,9.719,0.002,True
2016-03-17,9.7525,0.002,True
2016-03-18,9.609,0.0022,True
2016-03-21,9.6672,0.0021,True
2016-03-22,9.6098,0.0022,True
2016-03-23,9.5964,0.0022,True
2016-03-24,9.7017,0.0021,True
2016-03-28,10.3237,0.0015,True
2016-03-29,10.3288,0.0015,True
2016-03-30,10.3364,0.0015,True
2016-03-31,10.0885,0.0017,True
2016-04-01,10.1056,0.0017,True
2016-04-04,10.1157,0.0017,True
2016-04-05,10.0453,0.0017,True
2016-04-06,10.0393,0.0017,True
2016-04-07,10.0087,0.0018,True
2016-04-08,10.0757,0.0017,True
2016-04-11,10.0571,0.0017,True
2016-04-12,10.0468,0.0017,True
2016-04-13,10.0119,0.0017,True
2016-04-14,10.0014,0.0018,True
2016-04-15,9.9705,0.0018,True
2016-04-18,9.994,0.0018,True
2016-04-19,10.0352,0.0017,True
2016-04-20,10.2755,0.0015,True
2016-04-21,10.2597,0.0015,True
2016-04-22,10.2559,0.0015,True
2016-04-25,10.3099,0.0015,True
2016-04-26,10.1599,0.0016,True
2016-04-27,10.1472,0.0016,True
2016-04-28,10.115,0.0017,True
2016-04-29,10.1119,0.0017,True
2016-05-02,10.086,0.0017,True
2016-05-03,10.1134,0.0017,True
2016-05-04,10.1359,0.0016,True
2016-05-05,10.3109,0.0015,True
2016-05-06,10.3379,0.0015,True
2016-05-09,10.3512,0.0015,True
2016-05-10,10.2372,0.0016,True
2016-05-11,10.1991,0.0016,True
2016-05-12,10.2132,0.0016,True
2016-05-13,10.2775,0.0015,True
2016-05-16,10.3931,0.0014,True
2016-05-17,10.3674,0.0015,True
2016-05-18,10.362,0.0015,True
2016-05-19,10.2901,0.0015,True
