date,F_stat,p_value,significant
2016-01-05,3.3333,0.0691,False
2016-01-06,3.6628,0.0568,False
2016-01-07,3.6361,0.0577,False
2016-01-08,3.5316,0.0614,False
2016-01-11,3.213,0.0743,False
2016-01-12,3.1954,0.0751,False
2016-01-13,3.1447,0.0774,False
2016-01-14,3.0942,0.0798,False
2016-01-15,3.1517,0.0771,False
2016-01-19,3.1547,0.0769,False
2016-01-20,2.7475,0.0987,False
2016-01-21,2.6629,0.104,False
2016-01-22,2.6304,0.1061,False
2016-01-25,2.3549,0.1262,False
2016-01-26,2.4567,0.1183,False
2016-01-27,2.5058,0.1147,False
2016-01-28,4.1761,0.0421,True
2016-01-29,5.8944,0.0159,True
2016-02-01,5.7116,0.0176,True
2016-02-02,5.388,0.0211,True
2016-02-03,5.4292,0.0206,True
2016-02-04,5.5693,0.0191,True
2016-02-05,5.5933,0.0188,True
2016-02-08,5.5279,0.0195,True
2016-02-09,5.3384,0.0217,True
2016-02-10,5.2381,0.0229,True
2016-02-11,5.272,0.0225,True
2016-02-12,5.2587,0.0227,True
2016-02-16,5.1695,0.0238,True
2016-02-17,5.563,0.0191,True
2016-02-18,5.4944,0.0199,True
2016-02-19,5.4631,0.0202,True
2016-02-22,5.5108,0.0197,True
2016-02-23,5.5926,0.0188,True
2016-02-24,5.5453,0.0193,True
2016-02-25,5.6171,0.0186,True
2016-02-26,5.6008,0.0187,True
2016-02-29,5.5141,0.0197,True
2016-03-01,5.4907,0.0199,True
2016-03-02,5.3895,0.0211,True
2016-03-03,5.0955,0.0249,True
2016-03-04,5.1168,0.0246,True
2016-03-07,5.0476,0.0255,True
2016-03-08,5.2113,0.0233,True
2016-03-09,5.276,0.0225,True
2016-03-10,5.2278,0.0231,True
2016-03-11,5.2626,0.0226,True
2016-03-14,5.325,0.0218,True
2016-03-15,5.1416,0.0242,True
2016-03-16,5.1313,0.0244,True
2016-03-17,5.127,0.0244,True
2016-03-18,5.2137,0.0233,True
2016-03-21,5.2078,0.0233,True
2016-03-22,5.2331,0.023,True
2016-03-23,5.215,0.0232,True
2016-03-24,5.3008,0.0221,True
2016-03-28,5.3443,0.0216,True
2016-03-29,5.3502,0.0215,True
2016-03-30,5.3691,0.0213,True
2016-03-31,5.3646,0.0214,True
2016-04-01,5.4129,0.0208,True
2016-04-04,5.4178,0.0207,True
2016-04-05,5.4261,0.0206,True
2016-04-06,5.4228,0.0207,True
2016-04-07,5.3633,0.0214,True
2016-04-08,5.3589,0.0214,True
2016-04-11,5.3209,0.0219,True
2016-04-12,5.3345,0.0217,True
2016-04-13,5.3268,0.0218,True
2016-04-14,5.2896,0.0223,True
2016-04-15,5.2538,0.0227,True
2016-04-18,5.2064,0.0234,True
2016-04-19,5.1035,0.0247,True
2016-04-20,5.1227,0.0245,True
2016-04-21,5.1419,0.0242,True
2016-04-22,5.1288,0.0244,True
2016-04-25,5.1216,0.0245,True
2016-04-26,5.1649,0.0239,True
2016-04-27,5.1913,0.0236,True
2016-04-28,3.8148,0.0519,False
2016-04-29,3.0398,0.0825,False
2016-05-02,3.1766,0.0759,False
2016-05-03,3.1562,0.0769,False
2016-05-04,3.1841,0.0756,False
2016-05-05,3.1913,0.0753,False
2016-05-06,3.1915,0.0752,False
2016-05-09,3.2285,0.0736,False
2016-05-10,3.2822,0.0712,False
2016-05-11,3.2813,0.0713,False
2016-05-12,3.2169,0.0741,False
2016-05-13,3.2545,0.0724,False
2016-05-16,3.3197,0.0697,False
2016-05-17,3.2909,0.0709,False
2016-05-18,3.3563,0.0681,False
2016-05-19,3.3145,0.0699,False
2016-05-20,3.3354,0.069,False
2016-05-23,3.3244,0.0695,False
2016-05-24,3.3656,0.0678,False
2016-05-25,3.3763,0.0673,False
2016-05-26,3.3616,0.0679,False
2016-05-27,3.3712,0.0675,False
2016-05-31,3.3872,0.0669,False
2016-06-01,3.3792,0.0672,False
2016-06-02,3.3551,0.0682,False
2016-06-03,3.3683,0.0677,False
2016-06-06,3.4054,0.0662,False
2016-06-07,3.3999,0.0664,False
2016-06-08,3.4069,0.0661,False
2016-06-09,3.4213,0.0655,False
2016-06-10,3.4856,0.0631,False
2016-06-13,3.4976,0.0626,False
2016-06-14,3.4844,0.0631,False
2016-06-15,3.4823,0.0632,False
2016-06-16,3.4938,0.0628,False
2016-06-17,3.4949,0.0627,False
2016-06-20,3.4832,0.0632,False
2016-06-21,3.5319,0.0614,False
2016-06-22,3.5174,0.0619,False
2016-06-23,3.5244,0.0616,False
2016-06-24,3.5458,0.0609,False
2016-06-27,3.6097,0.0586,False
2016-06-28,2.8461,0.0929,False
2016-06-29,3.0095,0.084,False
2016-06-30,2.8798,0.091,False
2016-07-01,2.8081,0.095,False
2016-07-05,2.7265,0.1,False
2016-07-06,2.72,0.1004,False
