date,F_stat,p_value,significant
2016-01-05,0.6253,0.4298,False
2016-01-06,0.5464,0.4605,False
2016-01-07,0.5433,0.4618,False
2016-01-08,0.2644,0.6076,False
2016-01-11,0.1762,0.675,False
2016-01-12,0.1927,0.6611,False
2016-01-13,0.2009,0.6544,False
2016-01-14,0.2841,0.5945,False
2016-01-15,0.2837,0.5948,False
2016-01-19,0.34,0.5604,False
2016-01-20,0.1582,0.6912,False
2016-01-21,0.1649,0.6851,False
2016-01-22,0.1948,0.6594,False
2016-01-25,0.1655,0.6845,False
2016-01-26,0.1398,0.7088,False
2016-01-27,0.1441,0.7046,False
2016-01-28,0.1678,0.6824,False
2016-01-29,0.111,0.7393,False
2016-02-01,0.164,0.6859,False
2016-02-02,0.2994,0.5847,False
2016-02-03,0.3082,0.5793,False
2016-02-04,0.2727,0.602,False
2016-02-05,0.275,0.6005,False
2016-02-08,0.2772,0.599,False
2016-02-09,0.1059,0.7451,False
2016-02-10,0.1125,0.7376,False
2016-02-11,0.1212,0.728,False
2016-02-12,0.1164,0.7332,False
2016-02-16,0.0884,0.7665,False
2016-02-17,0.0113,0.9155,False
2016-02-18,0.0173,0.8954,False
2016-02-19,0.0146,0.9039,False
2016-02-22,0.0102,0.9198,False
2016-02-23,0.012,0.913,False
2016-02-24,0.0113,0.9155,False
2016-02-25,0.0108,0.9174,False
2016-02-26,0.0106,0.9182,False
2016-02-29,0.0176,0.8946,False
2016-03-01,0.0178,0.8941,False
2016-03-02,0.0208,0.8855,False
2016-03-03,0.0072,0.9326,False
2016-03-04,0.0077,0.9301,False
2016-03-07,0.0075,0.9311,False
2016-03-08,0.0026,0.9593,False
2016-03-09,0.0019,0.9651,False
2016-03-10,0.0018,0.9666,False
2016-03-11,0.0019,0.9657,False
2016-03-14,0.0004,0.9844,False
2016-03-15,0.0021,0.9631,False
2016-03-16,0.0004,0.984,False
2016-03-17,0.0004,0.9846,False
2016-03-18,0.0002,0.9901,False
2016-03-21,0.0,0.9947,False
2016-03-22,0.0003,0.986,False
