date,TCI,TO_SPY,FROM_SPY,NET_SPY,TO_QQQ,FROM_QQQ,NET_QQQ,TO_AAPL,FROM_AAPL,NET_AAPL
2016-01-04,0.4387,1.034,0.0778,0.9563,0.2795,0.7925,-0.513,0.0027,0.4459,-0.4433
2016-02-03,0.4429,1.0577,0.0545,1.0032,0.2706,0.7972,-0.5267,0.0004,0.477,-0.4766
2016-03-04,0.4295,1.0554,0.0354,1.0199,0.2325,0.7863,-0.5538,0.0007,0.4668,-0.4662
2016-04-05,0.4315,1.0582,0.036,1.0222,0.2356,0.7893,-0.5537,0.0006,0.4691,-0.4685
2016-05-04,0.4048,1.0034,0.0368,0.9666,0.2106,0.7884,-0.5778,0.0004,0.3892,-0.3888
2016-06-03,0.4018,0.998,0.0362,0.9618,0.2069,0.7886,-0.5816,0.0005,0.3806,-0.3802
2016-07-05,0.4021,1.0013,0.0292,0.9721,0.2046,0.8094,-0.6048,0.0004,0.3676,-0.3673
2016-08-03,0.3925,0.9863,0.0311,0.9552,0.1908,0.8134,-0.6226,0.0004,0.333,-0.3326
2016-09-01,0.3319,0.8735,0.0033,0.8702,0.1194,0.7993,-0.68,0.0029,0.1931,-0.1903
2016-10-03,0.3299,0.8759,0.0025,0.8734,0.1112,0.7931,-0.6819,0.0027,0.1942,-0.1915
2016-11-01,0.3433,0.9037,0.0014,0.9023,0.1255,0.8148,-0.6893,0.0007,0.2137,-0.213
2016-12-01,0.3389,0.8901,0.0014,0.8887,0.1263,0.8067,-0.6804,0.0003,0.2087,-0.2084
2017-01-03,0.3399,0.8861,0.0002,0.8859,0.1333,0.8073,-0.674,0.0001,0.2121,-0.2119
2017-02-02,0.2971,0.8349,0.0024,0.8326,0.0562,0.8111,-0.7549,0.0001,0.0778,-0.0777
2017-03-06,0.3125,0.895,0.0013,0.8937,0.041,0.8841,-0.8431,0.0016,0.0522,-0.0506
2017-04-04,0.3147,0.9015,0.0018,0.8998,0.0404,0.8897,-0.8493,0.0021,0.0526,-0.0505
2017-05-04,0.3245,0.9213,0.0011,0.9202,0.0517,0.8988,-0.847,0.0006,0.0737,-0.0731
2017-06-05,0.3303,0.9243,0.0003,0.924,0.0665,0.8952,-0.8287,0.0,0.0953,-0.0953
2017-07-05,0.2269,0.5642,0.0028,0.5613,0.1132,0.5474,-0.4342,0.0034,0.1305,-0.1271
2017-08-03,0.2396,0.5726,0.0062,0.5665,0.1382,0.5447,-0.4065,0.008,0.1679,-0.1599
2017-09-01,0.2569,0.6198,0.0047,0.6151,0.1455,0.581,-0.4355,0.0055,0.1851,-0.1796
2017-10-03,0.2384,0.5563,0.0008,0.5556,0.1565,0.5273,-0.3709,0.0023,0.187,-0.1847
2017-11-01,0.2247,0.4777,0.0015,0.4761,0.1925,0.4456,-0.2531,0.0038,0.2268,-0.223
2017-12-01,0.2211,0.4657,0.0052,0.4605,0.1914,0.4166,-0.2253,0.0062,0.2414,-0.2352
